date,match_id,url_match,home,away,home_score,away_score,matchweek
3/4/2026,30u02n6fw3bxc2lk51wv1cowk,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/30u02n6fw3bxc2lk51wv1cowk,Rayo,Elche,1,0,30
22/3/2026,2wpgnr91h1yid0zf4zu0y5afo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2wpgnr91h1yid0zf4zu0y5afo,Real Madrid,Atlético,3,2,29
22/3/2026,2xuajcyluofrmnt1siit15jbo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2xuajcyluofrmnt1siit15jbo,Athletic,Betis,2,1,29
22/3/2026,3036nph9xhmltiks40aso8lck,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3036nph9xhmltiks40aso8lck,Celta,Alavés,3,4,29
22/3/2026,2y7mqtoumr3710vgfit7046j8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2y7mqtoumr3710vgfit7046j8,Barcelona,Rayo,1,0,29
21/3/2026,2zpoy8pxorsqwffemhjkcff2s,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2zpoy8pxorsqwffemhjkcff2s,Sevilla,Valencia,0,2,29
21/3/2026,2x2xudpjc4s1hoolcluxehudw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2x2xudpjc4s1hoolcluxehudw,Osasuna,Girona,1,0,29
21/3/2026,2zc6div45o8artjqg9vrawb2s,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2zc6div45o8artjqg9vrawb2s,Levante,Oviedo,4,2,29
21/3/2026,2yypobxbbgweakpwxt4090v10,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2yypobxbbgweakpwxt4090v10,Espanyol,Getafe,1,2,29
21/3/2026,2yl5s151fw9kjhq3j3dx1g2l0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2yl5s151fw9kjhq3j3dx1g2l0,Elche,Mallorca,2,1,29
20/3/2026,2xgn2f7ghbsseb9afxdo1atqs,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2xgn2f7ghbsseb9afxdo1atqs,Villarreal,Real Sociedad,3,1,29
16/3/2026,2toal4qg8ohxn3hh50m9lrac4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2toal4qg8ohxn3hh50m9lrac4,Rayo,Levante,1,1,28
15/3/2026,2uf6893vxahtyej21o0yj2vbo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2uf6893vxahtyej21o0yj2vbo,Real Sociedad,Osasuna,3,1,28
15/3/2026,2vji7tw0khxdvfeo52geb0jkk,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/2vji7tw0khxdvfeo52geb0jkk,Betis,Celta,1,1,28
